ann_return_log,sharpe,sortino,max_dd,calmar,profit_factor,hit_rate,exposure,turnover,var_5,es_5,start,end
0.3320926557732684,1.8593288786812112,2.9125734133745564,-0.03925017419690321,8.4609218320226,2.153499641198226,0.35833333333333334,0.575,1.7199149319896587,-0.007100265926797877,-0.015129068085256514,2019-01-02,2019-05-01
-0.010031629720661949,-0.08712505599518863,-0.07864469292929972,-0.10102326070534774,-0.09930019730724171,0.9770814134483053,0.18333333333333332,0.39166666666666666,1.652852892866807,-0.009720066682067282,-0.01994827390287551,2019-05-02,2019-08-29
-0.20760866004645206,-1.6065952015291851,-1.245348394151738,-0.13559396412370617,-1.5311054690977608,0.6272130828688142,0.25,0.525,2.4554736891109123,-0.012605459907317302,-0.02430146003215955,2019-08-30,2019-12-27
0.2205612570443528,0.9743867308430992,2.492697728190727,-0.06045994452059479,3.6480558954072784,1.5978126619700141,0.225,0.475,1.9420731554964,-0.010147072212890322,-0.014782639172817302,2019-12-28,2020-04-25
-0.09001309159993469,-1.0275593145708417,-0.937329726351938,-0.06937865029013537,-1.297417739081229,0.7854981383898817,0.26666666666666666,0.5416666666666666,2.984660006641087,-0.010810727691937224,-0.016839018539616488,2020-04-26,2020-08-23
0.5530112288396368,3.861882697507659,5.349695782629342,-0.037618712724916945,14.700429355025406,2.642839272970735,0.36666666666666664,0.5833333333333334,1.5494933239352555,-0.008217837713889845,-0.015471388989336338,2020-08-24,2020-12-21
0.06946148189306085,0.6900722163056945,0.764811871173707,-0.04533783673164793,1.5320863742176187,1.1631251781065088,0.2916666666666667,0.5916666666666667,0.6680584025910454,-0.009648109539429761,-0.015881500696746435,2020-12-22,2021-04-20
-0.07402235875937158,-0.8125322491959077,-0.9528525631568402,-0.08665295484099768,-0.854239291610974,0.8248066761235072,0.2,0.5,1.0425137183362025,-0.008123157662362187,-0.014820732407302138,2021-04-21,2021-08-18
-0.019930737186035795,-0.21562792908129133,-0.22307772531434455,-0.0672548474910142,-0.29634647805422065,0.9478884531417401,0.19166666666666668,0.4166666666666667,1.2375105105441357,-0.011903386098563423,-0.015243762381324528,2021-08-19,2021-12-16
-0.26597105256412623,-3.727082170089936,-2.873619780360157,-0.12036400352977006,-2.2097225479737608,0.32815342447922125,0.14166666666666666,0.325,3.326017631002134,-0.01000151653598322,-0.015081447892076915,2021-12-17,2022-04-15
0.17590674743916232,1.6315925043301858,1.9097174845114961,-0.048861547447030834,3.6001059448609753,1.621151015526165,0.24166666666666667,0.425,0.9699767666411402,-0.009956371664585406,-0.014111044220676725,2022-04-16,2022-08-13
-0.2754176054117157,-2.1378791639244765,-1.573399452466848,-0.12614501749135917,-2.1833411329986268,0.5315885176189764,0.26666666666666666,0.5416666666666666,2.655667969015383,-0.010795934431649902,-0.026418541456128403,2022-08-14,2022-12-11
-0.16876114249943366,-1.4517435304496964,-1.5137145033107537,-0.13165848180306847,-1.281809878013499,0.6931452669738472,0.225,0.5583333333333333,2.447452916546372,-0.009127541271270934,-0.021522358819932485,2022-12-12,2023-04-10
-0.13190317028717763,-1.253323760049462,-1.157418733133504,-0.10259246463498546,-1.285700375329484,0.7195596898516842,0.23333333333333334,0.5,2.978111289428149,-0.009995292292298466,-0.020356028416362634,2023-04-11,2023-08-08
0.3665492899145069,2.4941469938772927,3.5857437130584064,-0.06959071510819437,5.267215451725476,1.923074357443538,0.30833333333333335,0.5916666666666667,3.3757543963027845,-0.009743936955096722,-0.017763229944077214,2023-08-09,2023-12-06
0.20377480638624526,1.5478639381324175,2.061162396373439,-0.04777991756750003,4.264863079731497,1.4464727143256764,0.3,0.5583333333333333,2.166141641488062,-0.010924514842138742,-0.018358365140067456,2023-12-07,2024-04-04
-0.21656789136674603,-2.125502694678015,-2.047028127733996,-0.1078482102840695,-2.008080530926861,0.5822464780431482,0.19166666666666668,0.4666666666666667,2.8850752582629244,-0.010942192623882017,-0.018623285167846202,2024-04-05,2024-08-02
0.34540003966177635,2.7424043076135765,4.15399891753936,-0.038794720535906456,8.903274334508772,1.97357301421497,0.3,0.5583333333333333,1.4342979771710116,-0.010963731690068276,-0.01453391366793874,2024-08-03,2024-11-30
0.03679081186945223,0.30579225080625816,0.31716162562330824,-0.052267771283966646,0.7038909631246888,1.080722882271136,0.25,0.5166666666666667,2.190117492786313,-0.009711205833844659,-0.017447936250684467,2024-12-01,2025-03-30
0.06318864305025462,0.6686474554501798,0.7929434742567079,-0.05491258307886209,1.1507133612619709,1.174033461880798,0.25,0.475,3.7880925012607816,-0.009377858980568815,-0.013643901172381448,2025-03-31,2025-07-28
